Image Basename,DICE
181079,80.9
boat_2007_009527,66.3
cat_2008_001592,14.2
horse_2007_003889,38.9
person_2007_000170,52.6
bird_2008_002200,8.7
21077,25.1
37073,66.9
bus_2007_003786,24.3
person_2007_009327,6.7
208001,35.8
person_2007_002823,4.3
person_2007_000323,54.1
aero_2008_002358,33.1
aero_2007_007341,16.0
baby_2007_005227,46.1
376043,51.3
aero_2007_009030,28.2
aero_2007_000032,6.8
326038,18.4
304074,6.0
person3,14.7
65019,47.6
bike_2007_005354,56.8
flower,58.6
69020,32.3
388016,55.3
sheep,15.9
person_2007_002378,35.4
bike_2007_008994,5.8
